Timestamp,Latitude,Longitude,Tree_no,Tree_sp,Usnea,Evernia,Hypogymnia,Melanelixia,Flavoparmelia,Parmelia, Leafy_Xanthoria,Cushion_Xanthoria,Physcia
07/02/2020 13:05,52.4605,-1.9224,1,Oak,0,1,3,0,2,1,0,2,1
07/02/2020 13:10,52.4605,-1.9224,2,Oak,0,1,3,0,2,1,0,2,1
07/02/2020 13:10,52.4605,-1.9224,1,Oak,0,1,3,0,2,1,0,2,1
28/01/2019 13:17,52.4611,-1.9224,2,Sycamore,1,2,1,0,0,1,0,0,2
28/01/2019 13:22,52.461595,-1.922369,2,Birch,0,0,1,1,0,0,0,0,0
28/01/2019 13:10,52.4613,-1.9223,2,Sycamore,0,0,0,0,2,1,0,0,0
28/01/2019 13:10,52.4617,-1.9223,2,NA,1,0,1,0,3,0,0,0,0
28/01/2019 13:16,52.4617,-1.9223,2,n/a,1,0,1,0,3,0,0,0,0
28/01/2019 13:22,52.4617,-1.9223,2,NA,1,0,1,0,3,2,0,0,0
28/01/2019 13:10,52.4619,-1.9223,2,NA,1,0,1,0,3,0,0,0,0
28/01/2019 13:12,52.4623,-1.9223,2,NA,0,0,1,0,1,0,0,1,1
28/01/2019 13:19,52.4623,-1.9223,2,NA,0,0,0,0,1,0,0,1,0
28/01/2019 13:11,52.4635,-1.9223,1,Sycamore,0,0,0,1,2,0,0,3,0
28/01/2019 13:22,52.460926,-1.922257,2,Elm,0,0,0,2,1,1,0,1,0
28/01/2019 13:22,52.460926,-1.922257,2,elm,0,0,0,2,1,1,0,1,0
28/01/2019 13:14,52.463389,-1.922243,1,Sweet Chestnut,0,0,0,0,0,0,0,1,0
28/01/2019 13:21,52.463389,-1.922243,1,Chestnut,0,0,0,0,0,0,0,1,0
28/01/2019 13:21,52.463389,-1.922243,2,Elm,0,0,0,0,0,0,2,2,0
07/02/2020 13:08,52.4597846,-1.922241,1,Oak,0,0,0,0,2,0,0,0,0
07/02/2020 13:01,52.463337,-1.92218,2,beech,0,0,0,0,1,0,1,0,1
07/02/2020 13:02,52.463337,-1.92218,2,Beech,0,0,0,0,1,0,1,0,1
07/02/2020 13:02,52.463337,-1.92218,2,Beech,0,0,0,0,1,0,1,0,1
28/01/2019 13:09,52.4636,-1.9221,1,NA,0,0,0,0,0,0,3,1,2
28/01/2019 13:14,52.4636,-1.9221,1,N/A,0,0,0,0,0,0,0,0,0
28/01/2019 13:15,52.4636,-1.9221,1,n/a,0,0,0,0,0,0,3,1,2
28/01/2019 13:16,52.4636,-1.9221,1,NA,0,0,0,0,0,0,3,1,2
28/01/2019 13:11,52.456,-1.922,2,NA,0,0,3,2,0,0,0,0,0
07/02/2020 13:10,52.463039,-1.921993,1,Birch,0,0,1,0,3,0,1,0,0
28/01/2019 13:12,52.459861,-1.921899,1,Oak,0,0,0,0,0,1,0,2,2
07/02/2020 13:12,52.462816,-1.921891,2,Beech,0,0,1,0,1,0,2,0,0
28/01/2019 13:13,52.460351,-1.921799,2,Oak ,1,0,0,2,0,1,1,0,1
28/01/2019 13:13,52.460351,-1.921799,2,Oak,2,1,3,0,0,1,3,1,0
28/01/2019 13:13,52.4627,-1.9216,1,Poplar,0,0,1,1,0,0,1,1,0
28/01/2019 13:13,52.4627,-1.9216,1,poplar ,0,0,1,1,0,0,1,0,0
28/01/2019 13:13,52.4627,-1.9216,1,Poplar ,0,0,1,1,0,0,1,0,0
28/01/2019 13:13,52.4627,-1.9216,1,Poplar Tree,0,0,1,1,0,0,1,0,0
28/01/2019 13:14,52.4627,-1.9216,1,poplar,0,0,1,1,0,0,1,0,0
28/01/2019 13:18,52.4627,-1.9216,1,Poplar,0,0,1,1,0,0,1,0,0
